,new_V1,new_V2,new_V3
0,0.5508382,18.79099,-5.6273746
1,15.31139,9.5255785,-8.46707
2,-11.326847,-15.430429,5.4097757
3,-4.393757,-3.1729176,-1.4168421
4,-9.240046,-16.461197,-7.395959
5,-5.1801143,15.44314,15.4751625
6,-12.404829,15.106189,-1.6004341
7,-8.048318,-1.6004276,3.962362
8,7.342814,1.4841403,16.052582
9,-15.247576,-11.263804,0.2748841
10,0.5313397,-0.7257021,5.209669
11,-3.8238182,16.211226,13.855395
12,-0.22772501,4.5692377,-18.1833
13,-5.266323,2.9608364,-10.121739
14,14.778055,11.968004,-12.539752
15,-24.101385,1.0970582,3.401467
16,-14.82001,0.07170437,1.2521648
17,-4.814053,1.092952,-8.929381
18,-11.363696,1.309407,11.06325
19,-12.943983,-15.713641,-3.9535518
20,-8.4219,-5.871622,-0.64767367
21,-1.1950798,16.358303,-11.627176
22,3.1163068,-0.93631876,-17.186771
23,-1.0388854,15.022854,-11.223383
24,16.522587,-0.8132867,-15.450827
25,-0.6187653,15.525388,-11.178469
26,-1.1812974,5.9530582,5.0734596
27,-5.8646455,11.86107,0.92950183
28,-0.088121735,1.5290602,-15.8903055
29,-9.090621,-16.597471,-6.9780307
30,-21.998404,6.775339,9.015948
31,-23.935652,7.312148,-9.138401
32,-8.7757015,-14.538184,-6.730454
33,0.098116174,3.4817142,1.2184944
34,-5.8762493,14.568563,0.34801158
35,-9.499151,7.4178205,-3.0787807
36,-9.138601,8.58801,1.4364698
37,-3.9602687,6.7355957,12.83455
38,-8.833454,-14.70812,-10.060203
39,1.5697026,9.304048,-15.4743595
40,-13.983437,-5.1221175,-3.3591788
41,-4.0099316,11.272654,1.2076901
42,-21.871252,4.07377,9.855579
43,-9.513576,-4.2927594,6.882968
44,-22.327745,7.1244664,7.5770335
45,4.5434923,7.22656,-7.32306
46,-13.386314,-2.4030433,1.1314884
47,-15.945957,-6.292662,-6.845697
48,-21.896317,5.7477903,-12.098004
49,-12.054439,-8.53286,-13.3723955
50,-15.929168,-18.12485,-5.9394464
51,-4.409554,-3.2275455,-1.4543524
52,2.6221242,-14.029448,15.686828
53,-10.527262,9.199012,4.7876163
54,15.531795,2.8092642,-7.9977837
55,-2.6779487,-0.60975397,-14.880476
56,-3.873783,-3.29012,0.7972418
57,-10.7575445,7.844591,1.4839629
58,1.7251571,9.58892,17.714045
